fromID,fromGroupID,fromName,fromIdo,fromKeido,toID,toGroupID,toName,toIdo,toKeido,time,routeID,routeName,r,g,b
1132817,1130325,立川,139.413704,35.698202,1132818,1131106,国分寺,139.480841,35.700123,5,11328,JR成田エクスプレス,185,54,54
1132818,1131106,国分寺,139.480841,35.700123,1132819,1131105,三鷹,139.560325,35.702683,10,11328,JR成田エクスプレス,185,54,54
1132819,1131105,三鷹,139.560325,35.702683,1132820,1131104,吉祥寺,139.579765,35.703119,2,11328,JR成田エクスプレス,185,54,54
1132820,1131104,吉祥寺,139.579765,35.703119,1132806,1130208,新宿,139.700464,35.689729,16,11328,JR成田エクスプレス,185,54,54
1133210,1131903,赤羽,139.720928,35.778026,1133211,1133211,東十条,139.726858,35.763803,3,11332,JR京浜東北線,80,175,224
1133211,1133211,東十条,139.726858,35.763803,1133212,1133212,王子,139.73809,35.752538,3,11332,JR京浜東北線,80,175,224
1133212,1133212,王子,139.73809,35.752538,1133213,1133213,上中里,139.745769,35.74728,2,11332,JR京浜東北線,80,175,224
1133213,1133213,上中里,139.745769,35.74728,1133214,1130216,田端,139.761229,35.737781,3,11332,JR京浜東北線,80,175,224
1133214,1130216,田端,139.761229,35.737781,1133215,1130217,西日暮里,139.766857,35.731954,1,11332,JR京浜東北線,80,175,224
1133215,1130217,西日暮里,139.766857,35.731954,1133216,1130218,日暮里,139.771287,35.727908,2,11332,JR京浜東北線,80,175,224
1133216,1130218,日暮里,139.771287,35.727908,1133217,1130219,鶯谷,139.778015,35.721484,2,11332,JR京浜東北線,80,175,224
1133217,1130219,鶯谷,139.778015,35.721484,1133218,1130220,上野,139.777043,35.71379,2,11332,JR京浜東北線,80,175,224
1133218,1130220,上野,139.777043,35.71379,1133219,1130221,御徒町,139.774727,35.707282,1,11332,JR京浜東北線,80,175,224
1133219,1130221,御徒町,139.774727,35.707282,1133220,1130222,秋葉原,139.773288,35.698619,2,11332,JR京浜東北線,80,175,224
1133220,1130222,秋葉原,139.773288,35.698619,1133221,1130223,神田,139.770641,35.691173,2,11332,JR京浜東北線,80,175,224
1133221,1130223,神田,139.770641,35.691173,1133222,1130101,東京,139.766103,35.681391,2,11332,JR京浜東北線,80,175,224
1133222,1130101,東京,139.766103,35.681391,1133223,1130225,有楽町,139.763806,35.675441,2,11332,JR京浜東北線,80,175,224
1133223,1130225,有楽町,139.763806,35.675441,1133224,1130102,新橋,139.758587,35.666195,2,11332,JR京浜東北線,80,175,224
1133224,1130102,新橋,139.758587,35.666195,1133225,1130227,浜松町,139.757135,35.655391,3,11332,JR京浜東北線,80,175,224
1133225,1130227,浜松町,139.757135,35.655391,1133226,1130228,田町,139.747575,35.645736,3,11332,JR京浜東北線,80,175,224
1133226,1130228,田町,139.747575,35.645736,1133227,1130103,品川,139.738999,35.62876,4,11332,JR京浜東北線,80,175,224
1133227,1130103,品川,139.738999,35.62876,1133228,1133228,大井町,139.73485,35.606257,3,11332,JR京浜東北線,80,175,224
1133228,1133228,大井町,139.73485,35.606257,1133229,1133229,大森,139.728079,35.588903,3,11332,JR京浜東北線,80,175,224
1133229,1133229,大森,139.728079,35.588903,1133230,1133230,蒲田,139.716032,35.562517,4,11332,JR京浜東北線,80,175,224
1133302,1131903,赤羽,139.720928,35.778026,1133303,1130212,池袋,139.711086,35.730256,9,11333,JR湘南新宿ライン,209,55,50
1133303,1130212,池袋,139.711086,35.730256,1133304,1130208,新宿,139.700464,35.689729,6,11333,JR湘南新宿ライン,209,55,50
1133304,1130208,新宿,139.700464,35.689729,1133305,1130205,渋谷,139.701238,35.658871,5,11333,JR湘南新宿ライン,209,55,50
