fromID,fromGroupID,fromName,toID,toGroupID,toName,time,routeID,routeName
2400112,2400112,千歳烏山,2400113,2400113,仙川,1,24001,京王線
2400113,2400113,仙川,2400114,2400114,つつじヶ丘,2,24001,京王線
2400114,2400114,つつじヶ丘,2400115,2400115,柴崎,2,24001,京王線
2400115,2400115,柴崎,2400116,2400116,国領,1,24001,京王線
2400116,2400116,国領,2400117,2400117,布田,1,24001,京王線
2400117,2400117,布田,2400118,2400118,調布,2,24001,京王線
2400118,2400118,調布,2400119,2400119,西調布,1,24001,京王線
2400119,2400119,西調布,2400120,2400120,飛田給,1,24001,京王線
2400120,2400120,飛田給,2400121,2400121,武蔵野台,2,24001,京王線
2400121,2400121,武蔵野台,2400122,2400122,多磨霊園,1,24001,京王線
2400122,2400122,多磨霊園,2400123,2400123,東府中,2,24001,京王線
2400123,2400123,東府中,2400124,2400124,府中,2,24001,京王線
2400124,2400124,府中,2400125,1130321,分倍河原,1,24001,京王線
2400125,1130321,分倍河原,2400126,2400126,中河原,2,24001,京王線
2400126,2400126,中河原,2400127,2400127,聖蹟桜ヶ丘,2,24001,京王線
2400127,2400127,聖蹟桜ヶ丘,2400128,2400128,百草園,2,24001,京王線
2400128,2400128,百草園,2400129,2400129,高幡不動,2,24001,京王線
2400129,2400129,高幡不動,2400130,2400130,南平,2,24001,京王線
2400130,2400130,南平,2400131,2400131,平山城址公園,2,24001,京王線
2400131,2400131,平山城址公園,2400132,2400132,長沼,2,24001,京王線
2400132,2400132,長沼,2400133,2400133,北野,2,24001,京王線
2400133,2400133,北野,2400134,2400134,京王八王子,2,24001,京王線
